2025-05-28 00:48:51,953 INFO  - ------------------------------------------------------------------------------------- (at simulation time 336.000,000,000 s)
2025-05-28 00:48:51,954 INFO  - Initialize application (at simulation time 336.000,000,000 s)
2025-05-28 00:48:51,954 INFO  - ------------------------------------------------------------------------------------- (at simulation time 336.000,000,000 s)
2025-05-28 00:48:52,025 INFO  - ------------------------------------------------------------------------------------- (at simulation time 336.000,000,010 s)
2025-05-28 00:48:52,025 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_65', id=97} (at simulation time 336.000,000,010 s)
2025-05-28 00:48:52,025 INFO  - ------------------------------------------------------------------------------------- (at simulation time 336.000,000,010 s)
2025-05-28 00:48:52,103 INFO  - ------------------------------------------------------------------------------------- (at simulation time 337.000,000,010 s)
2025-05-28 00:48:52,103 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_65', id=578} (at simulation time 337.000,000,010 s)
2025-05-28 00:48:52,103 INFO  - ------------------------------------------------------------------------------------- (at simulation time 337.000,000,010 s)
2025-05-28 00:48:52,197 INFO  - ------------------------------------------------------------------------------------- (at simulation time 338.000,000,010 s)
2025-05-28 00:48:52,197 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_65', id=406} (at simulation time 338.000,000,010 s)
2025-05-28 00:48:52,197 INFO  - ------------------------------------------------------------------------------------- (at simulation time 338.000,000,010 s)
2025-05-28 00:48:52,294 INFO  - ------------------------------------------------------------------------------------- (at simulation time 339.000,000,010 s)
2025-05-28 00:48:52,294 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_65', id=44} (at simulation time 339.000,000,010 s)
2025-05-28 00:48:52,294 INFO  - ------------------------------------------------------------------------------------- (at simulation time 339.000,000,010 s)
2025-05-28 00:48:52,395 INFO  - ------------------------------------------------------------------------------------- (at simulation time 340.000,000,010 s)
2025-05-28 00:48:52,395 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_65', id=494} (at simulation time 340.000,000,010 s)
2025-05-28 00:48:52,395 INFO  - ------------------------------------------------------------------------------------- (at simulation time 340.000,000,010 s)
2025-05-28 00:48:52,497 INFO  - ------------------------------------------------------------------------------------- (at simulation time 341.000,000,010 s)
2025-05-28 00:48:52,497 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_65', id=399} (at simulation time 341.000,000,010 s)
2025-05-28 00:48:52,497 INFO  - ------------------------------------------------------------------------------------- (at simulation time 341.000,000,010 s)
2025-05-28 00:48:52,592 INFO  - ------------------------------------------------------------------------------------- (at simulation time 342.000,000,010 s)
2025-05-28 00:48:52,592 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_65', id=796} (at simulation time 342.000,000,010 s)
2025-05-28 00:48:52,592 INFO  - ------------------------------------------------------------------------------------- (at simulation time 342.000,000,010 s)
2025-05-28 00:48:52,679 INFO  - ------------------------------------------------------------------------------------- (at simulation time 343.000,000,010 s)
2025-05-28 00:48:52,679 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_65', id=932} (at simulation time 343.000,000,010 s)
2025-05-28 00:48:52,679 INFO  - ------------------------------------------------------------------------------------- (at simulation time 343.000,000,010 s)
2025-05-28 00:48:52,765 INFO  - ------------------------------------------------------------------------------------- (at simulation time 344.000,000,010 s)
2025-05-28 00:48:52,765 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_65', id=939} (at simulation time 344.000,000,010 s)
2025-05-28 00:48:52,765 INFO  - ------------------------------------------------------------------------------------- (at simulation time 344.000,000,010 s)
2025-05-28 00:48:52,856 INFO  - ------------------------------------------------------------------------------------- (at simulation time 345.000,000,010 s)
2025-05-28 00:48:52,856 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_65', id=479} (at simulation time 345.000,000,010 s)
2025-05-28 00:48:52,856 INFO  - ------------------------------------------------------------------------------------- (at simulation time 345.000,000,010 s)
2025-05-28 00:48:52,940 INFO  - ------------------------------------------------------------------------------------- (at simulation time 346.000,000,010 s)
2025-05-28 00:48:52,940 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_65', id=652} (at simulation time 346.000,000,010 s)
2025-05-28 00:48:52,940 INFO  - ------------------------------------------------------------------------------------- (at simulation time 346.000,000,010 s)
2025-05-28 00:48:53,022 INFO  - ------------------------------------------------------------------------------------- (at simulation time 347.000,000,010 s)
