2025-05-28 00:39:41,024 INFO  - ------------------------------------------------------------------------------------- (at simulation time 634.000,000,000 s)
2025-05-28 00:39:41,025 INFO  - Initialize application (at simulation time 634.000,000,000 s)
2025-05-28 00:39:41,025 INFO  - ------------------------------------------------------------------------------------- (at simulation time 634.000,000,000 s)
2025-05-28 00:39:41,125 INFO  - ------------------------------------------------------------------------------------- (at simulation time 634.000,000,010 s)
2025-05-28 00:39:41,125 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_122', id=316} (at simulation time 634.000,000,010 s)
2025-05-28 00:39:41,125 INFO  - ------------------------------------------------------------------------------------- (at simulation time 634.000,000,010 s)
2025-05-28 00:39:41,219 INFO  - ------------------------------------------------------------------------------------- (at simulation time 635.000,000,010 s)
2025-05-28 00:39:41,219 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_122', id=901} (at simulation time 635.000,000,010 s)
2025-05-28 00:39:41,219 INFO  - ------------------------------------------------------------------------------------- (at simulation time 635.000,000,010 s)
2025-05-28 00:39:41,313 INFO  - ------------------------------------------------------------------------------------- (at simulation time 636.000,000,010 s)
2025-05-28 00:39:41,313 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_122', id=465} (at simulation time 636.000,000,010 s)
2025-05-28 00:39:41,313 INFO  - ------------------------------------------------------------------------------------- (at simulation time 636.000,000,010 s)
2025-05-28 00:39:41,399 INFO  - ------------------------------------------------------------------------------------- (at simulation time 637.000,000,010 s)
2025-05-28 00:39:41,399 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_122', id=977} (at simulation time 637.000,000,010 s)
2025-05-28 00:39:41,399 INFO  - ------------------------------------------------------------------------------------- (at simulation time 637.000,000,010 s)
2025-05-28 00:39:41,486 INFO  - ------------------------------------------------------------------------------------- (at simulation time 638.000,000,010 s)
2025-05-28 00:39:41,486 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_122', id=730} (at simulation time 638.000,000,010 s)
2025-05-28 00:39:41,486 INFO  - ------------------------------------------------------------------------------------- (at simulation time 638.000,000,010 s)
2025-05-28 00:39:41,578 INFO  - ------------------------------------------------------------------------------------- (at simulation time 639.000,000,010 s)
2025-05-28 00:39:41,578 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_122', id=430} (at simulation time 639.000,000,010 s)
2025-05-28 00:39:41,578 INFO  - ------------------------------------------------------------------------------------- (at simulation time 639.000,000,010 s)
2025-05-28 00:39:41,665 INFO  - ------------------------------------------------------------------------------------- (at simulation time 640.000,000,010 s)
2025-05-28 00:39:41,665 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_122', id=752} (at simulation time 640.000,000,010 s)
2025-05-28 00:39:41,665 INFO  - ------------------------------------------------------------------------------------- (at simulation time 640.000,000,010 s)
2025-05-28 00:39:41,754 INFO  - ------------------------------------------------------------------------------------- (at simulation time 641.000,000,010 s)
2025-05-28 00:39:41,754 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_122', id=940} (at simulation time 641.000,000,010 s)
2025-05-28 00:39:41,754 INFO  - ------------------------------------------------------------------------------------- (at simulation time 641.000,000,010 s)
2025-05-28 00:39:41,843 INFO  - ------------------------------------------------------------------------------------- (at simulation time 642.000,000,010 s)
2025-05-28 00:39:41,843 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_122', id=498} (at simulation time 642.000,000,010 s)
