2025-05-28 00:48:37,626 INFO  - ------------------------------------------------------------------------------------- (at simulation time 140.000,000,000 s)
2025-05-28 00:48:37,627 INFO  - Initialize application (at simulation time 140.000,000,000 s)
2025-05-28 00:48:37,627 INFO  - ------------------------------------------------------------------------------------- (at simulation time 140.000,000,000 s)
2025-05-28 00:48:37,687 INFO  - ------------------------------------------------------------------------------------- (at simulation time 140.000,000,010 s)
2025-05-28 00:48:37,687 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=127} (at simulation time 140.000,000,010 s)
2025-05-28 00:48:37,687 INFO  - ------------------------------------------------------------------------------------- (at simulation time 140.000,000,010 s)
2025-05-28 00:48:37,750 INFO  - ------------------------------------------------------------------------------------- (at simulation time 141.000,000,010 s)
2025-05-28 00:48:37,750 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=823} (at simulation time 141.000,000,010 s)
2025-05-28 00:48:37,750 INFO  - ------------------------------------------------------------------------------------- (at simulation time 141.000,000,010 s)
2025-05-28 00:48:37,814 INFO  - ------------------------------------------------------------------------------------- (at simulation time 142.000,000,010 s)
2025-05-28 00:48:37,814 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=174} (at simulation time 142.000,000,010 s)
2025-05-28 00:48:37,814 INFO  - ------------------------------------------------------------------------------------- (at simulation time 142.000,000,010 s)
2025-05-28 00:48:37,880 INFO  - ------------------------------------------------------------------------------------- (at simulation time 143.000,000,010 s)
2025-05-28 00:48:37,880 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=465} (at simulation time 143.000,000,010 s)
2025-05-28 00:48:37,880 INFO  - ------------------------------------------------------------------------------------- (at simulation time 143.000,000,010 s)
2025-05-28 00:48:37,945 INFO  - ------------------------------------------------------------------------------------- (at simulation time 144.000,000,010 s)
2025-05-28 00:48:37,945 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=272} (at simulation time 144.000,000,010 s)
2025-05-28 00:48:37,945 INFO  - ------------------------------------------------------------------------------------- (at simulation time 144.000,000,010 s)
2025-05-28 00:48:38,013 INFO  - ------------------------------------------------------------------------------------- (at simulation time 145.000,000,010 s)
2025-05-28 00:48:38,013 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=45} (at simulation time 145.000,000,010 s)
2025-05-28 00:48:38,013 INFO  - ------------------------------------------------------------------------------------- (at simulation time 145.000,000,010 s)
2025-05-28 00:48:38,082 INFO  - ------------------------------------------------------------------------------------- (at simulation time 146.000,000,010 s)
2025-05-28 00:48:38,082 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=758} (at simulation time 146.000,000,010 s)
2025-05-28 00:48:38,082 INFO  - ------------------------------------------------------------------------------------- (at simulation time 146.000,000,010 s)
2025-05-28 00:48:38,153 INFO  - ------------------------------------------------------------------------------------- (at simulation time 147.000,000,010 s)
2025-05-28 00:48:38,153 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=911} (at simulation time 147.000,000,010 s)
2025-05-28 00:48:38,153 INFO  - ------------------------------------------------------------------------------------- (at simulation time 147.000,000,010 s)
2025-05-28 00:48:38,227 INFO  - ------------------------------------------------------------------------------------- (at simulation time 148.000,000,010 s)
2025-05-28 00:48:38,227 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=938} (at simulation time 148.000,000,010 s)
2025-05-28 00:48:38,227 INFO  - ------------------------------------------------------------------------------------- (at simulation time 148.000,000,010 s)
2025-05-28 00:48:38,308 INFO  - ------------------------------------------------------------------------------------- (at simulation time 149.000,000,010 s)
2025-05-28 00:48:38,308 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=696} (at simulation time 149.000,000,010 s)
2025-05-28 00:48:38,308 INFO  - ------------------------------------------------------------------------------------- (at simulation time 149.000,000,010 s)
2025-05-28 00:48:38,385 INFO  - ------------------------------------------------------------------------------------- (at simulation time 150.000,000,010 s)
2025-05-28 00:48:38,385 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=143} (at simulation time 150.000,000,010 s)
2025-05-28 00:48:38,385 INFO  - ------------------------------------------------------------------------------------- (at simulation time 150.000,000,010 s)
2025-05-28 00:48:38,457 INFO  - ------------------------------------------------------------------------------------- (at simulation time 151.000,000,010 s)
2025-05-28 00:48:38,457 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_27', id=183} (at simulation time 151.000,000,010 s)
2025-05-28 00:48:38,457 INFO  - ------------------------------------------------------------------------------------- (at simulation time 151.000,000,010 s)
2025-05-28 00:48:38,533 INFO  - ------------------------------------------------------------------------------------- (at simulation time 152.000,000,010 s)
