2025-05-28 00:18:25,642 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_13" received at simulation time 66714285710 ns (subscribe=true)
2025-05-28 00:18:25,663 INFO  SumoAmbassador - Adding new vehicle "veh_12" at simulation time 66714285710 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:25,664 INFO  SumoAmbassador - Adding new vehicle "veh_13" at simulation time 66714285710 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:25,906 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_14" received at simulation time 76999999995 ns (subscribe=true)
2025-05-28 00:18:25,906 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_15" received at simulation time 76999999995 ns (subscribe=true)
2025-05-28 00:18:25,946 INFO  SumoAmbassador - Adding new vehicle "veh_14" at simulation time 76999999995 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:25,947 INFO  SumoAmbassador - Adding new vehicle "veh_15" at simulation time 76999999995 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:26,290 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_16" received at simulation time 87285714280 ns (subscribe=true)
2025-05-28 00:18:26,290 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_17" received at simulation time 87285714280 ns (subscribe=true)
2025-05-28 00:18:26,325 INFO  SumoAmbassador - Adding new vehicle "veh_16" at simulation time 87285714280 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:26,326 INFO  SumoAmbassador - Adding new vehicle "veh_17" at simulation time 87285714280 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:26,707 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_18" received at simulation time 97571428565 ns (subscribe=true)
2025-05-28 00:18:26,707 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_19" received at simulation time 97571428565 ns (subscribe=true)
2025-05-28 00:18:26,764 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:26,764 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-05-28 00:18:26,766 INFO  SumoAmbassador - Adding new vehicle "veh_18" at simulation time 97571428565 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:26,767 INFO  SumoAmbassador - Adding new vehicle "veh_19" at simulation time 97571428565 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:27,281 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_20" received at simulation time 107857142850 ns (subscribe=true)
2025-05-28 00:18:27,281 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_21" received at simulation time 107857142850 ns (subscribe=true)
2025-05-28 00:18:27,332 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:27,332 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:18:27,334 INFO  SumoAmbassador - Adding new vehicle "veh_20" at simulation time 107857142850 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:27,335 INFO  SumoAmbassador - Adding new vehicle "veh_21" at simulation time 107857142850 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:27,336 INFO  SumoAmbassador - Process sumo: Step #0.00 (0ms ?*RT. ?UPS, TraCI: 80ms, vehicles TOT 0 ACT 0 BUF 0)                      
2025-05-28 00:18:27,336 ERROR SumoAmbassador - Process sumo: Warning: Vehicle 'veh_17' performs emergency stop at the end of lane '37842092_441803339_443800958_1' because of a red traffic light (decel=-8.16, offset=1.05), time=108.00.
2025-05-28 00:18:27,336 INFO  SumoAmbassador - Process sumo: Step #100.00 (0ms ?*RT. ?UPS, TraCI: 47ms, vehicles TOT 20 ACT 20 BUF 0)                  
2025-05-28 00:18:27,958 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_22" received at simulation time 118142857135 ns (subscribe=true)
2025-05-28 00:18:27,958 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_23" received at simulation time 118142857135 ns (subscribe=true)
2025-05-28 00:18:28,023 INFO  SumoAmbassador - Adding new vehicle "veh_22" at simulation time 118142857135 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:28,024 INFO  SumoAmbassador - Adding new vehicle "veh_23" at simulation time 118142857135 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:28,541 INFO  SimulationFacade - Removed vehicle "veh_3" at simulation time 127000000000ns
2025-05-28 00:18:28,680 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_24" received at simulation time 128428571420 ns (subscribe=true)
2025-05-28 00:18:28,680 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_25" received at simulation time 128428571420 ns (subscribe=true)
2025-05-28 00:18:28,750 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:28,750 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-05-28 00:18:28,753 INFO  SumoAmbassador - Adding new vehicle "veh_24" at simulation time 128428571420 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:28,754 INFO  SumoAmbassador - Adding new vehicle "veh_25" at simulation time 128428571420 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:28,756 INFO  SimulationFacade - Removed vehicle "veh_1" at simulation time 130000000000ns
2025-05-28 00:18:28,825 INFO  SimulationFacade - Removed vehicle "veh_7" at simulation time 131000000000ns
2025-05-28 00:18:28,894 INFO  SimulationFacade - Removed vehicle "veh_5" at simulation time 132000000000ns
2025-05-28 00:18:28,960 INFO  SimulationFacade - Removed vehicle "veh_11" at simulation time 133000000000ns
2025-05-28 00:18:29,024 INFO  SimulationFacade - Removed vehicle "veh_9" at simulation time 134000000000ns
2025-05-28 00:18:29,143 INFO  SimulationFacade - Removed vehicle "veh_13" at simulation time 136000000000ns
2025-05-28 00:18:29,194 INFO  SimulationFacade - Removed vehicle "veh_15" at simulation time 137000000000ns
2025-05-28 00:18:29,294 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_26" received at simulation time 138714285705 ns (subscribe=true)
2025-05-28 00:18:29,294 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_27" received at simulation time 138714285705 ns (subscribe=true)
2025-05-28 00:18:29,343 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:29,343 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:18:29,345 INFO  SumoAmbassador - Adding new vehicle "veh_26" at simulation time 138714285705 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:29,346 INFO  SumoAmbassador - Adding new vehicle "veh_27" at simulation time 138714285705 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:29,871 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_28" received at simulation time 148999999990 ns (subscribe=true)
2025-05-28 00:18:29,871 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_29" received at simulation time 148999999990 ns (subscribe=true)
2025-05-28 00:18:29,931 INFO  SumoAmbassador - Adding new vehicle "veh_28" at simulation time 148999999990 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:29,932 INFO  SumoAmbassador - Adding new vehicle "veh_29" at simulation time 148999999990 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:30,617 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_30" received at simulation time 159285714275 ns (subscribe=true)
2025-05-28 00:18:30,617 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_31" received at simulation time 159285714275 ns (subscribe=true)
2025-05-28 00:18:30,688 INFO  SumoAmbassador - Adding new vehicle "veh_30" at simulation time 159285714275 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:30,689 INFO  SumoAmbassador - Adding new vehicle "veh_31" at simulation time 159285714275 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:30,771 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:30,771 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-05-28 00:18:31,386 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_32" received at simulation time 169571428560 ns (subscribe=true)
2025-05-28 00:18:31,386 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_33" received at simulation time 169571428560 ns (subscribe=true)
2025-05-28 00:18:31,465 INFO  SumoAmbassador - Adding new vehicle "veh_32" at simulation time 169571428560 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:31,466 INFO  SumoAmbassador - Adding new vehicle "veh_33" at simulation time 169571428560 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:31,552 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:31,552 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:18:32,288 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_34" received at simulation time 179857142845 ns (subscribe=true)
2025-05-28 00:18:32,288 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_35" received at simulation time 179857142845 ns (subscribe=true)
2025-05-28 00:18:32,380 INFO  SumoAmbassador - Adding new vehicle "veh_34" at simulation time 179857142845 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:18:32,380 INFO  SumoAmbassador - Adding new vehicle "veh_35" at simulation time 179857142845 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:18:32,762 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:18:32,762 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-05-28 00:18:33,308 INFO  SimulationFacade - Removed vehicle "veh_17" at simulation time 190000000000ns
2025-05-28 00:18:33,406 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_36" received at simulation time 190142857130 ns (subscribe=true)
2025-05-28 00:18:33,406 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_37" received at simulation time 190142857130 ns (subscribe=true)
2025-05-28 00:18:33,407 INFO  SimulationFacade - Removed vehicle "veh_19" at simulation time 191000000000ns
2025-05-28 00:18:33,500 INFO  SumoAmbassador - Adding new vehicle "veh_36" at simulation time 190142857130 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
