2025-06-06 16:07:50,354 INFO  - Sent ACK to veh_2 (at simulation time 57.000,400,000 s)
2025-06-06 16:07:50,355 INFO  - Received GreenWaveMsg from veh_7 on route r_1 with speed 0.0767135292679473 (at simulation time 57.000,900,000 s)
2025-06-06 16:07:50,355 INFO  - Sent ACK to veh_7 (at simulation time 57.000,900,000 s)
2025-06-06 16:07:50,355 INFO  - Received GreenWaveMsg from veh_4 on route r_0 with speed 0.0 (at simulation time 57.001,900,000 s)
2025-06-06 16:07:50,355 INFO  - Sent ACK to veh_4 (at simulation time 57.001,900,000 s)
2025-06-06 16:07:50,375 INFO  - Sent aggregated data: r_0=2 (0.98 m/s), r_1=1 (0.08 m/s) (at simulation time 60.000,000,000 s)
2025-06-06 16:07:50,379 INFO  - Forwarded metrics to vehicles: avgR0=0.6666666666666666, avgR1=0.8333333333333334 (at simulation time 60.002,300,000 s)
2025-06-06 16:07:50,389 INFO  - Ignored message from veh_4 (distance 17.07 > 15.0) (at simulation time 62.000,900,000 s)
2025-06-06 16:07:50,389 INFO  - Received GreenWaveMsg from veh_7 on route r_1 with speed 1.0452075774044497E-4 (at simulation time 62.000,900,000 s)
2025-06-06 16:07:50,389 INFO  - Sent ACK to veh_7 (at simulation time 62.000,900,000 s)
2025-06-06 16:07:50,395 INFO  - Received GreenWaveMsg from veh_9 on route r_1 with speed 7.860725457524327 (at simulation time 63.002,400,000 s)
2025-06-06 16:07:50,395 INFO  - Sent ACK to veh_9 (at simulation time 63.002,400,000 s)
2025-06-06 16:07:50,413 INFO  - TrafficLight   set to REd. (at simulation time 66.002,700,000 s)
2025-06-06 16:07:50,419 INFO  - Received GreenWaveMsg from veh_6 on route r_0 with speed 0.15224383659356272 (at simulation time 67.000,900,000 s)
2025-06-06 16:07:50,419 INFO  - Sent ACK to veh_6 (at simulation time 67.000,900,000 s)
2025-06-06 16:07:50,419 INFO  - Received GreenWaveMsg from veh_7 on route r_1 with speed 0.0 (at simulation time 67.001,400,000 s)
2025-06-06 16:07:50,419 INFO  - Sent ACK to veh_7 (at simulation time 67.001,400,000 s)
2025-06-06 16:07:50,433 INFO  - Received GreenWaveMsg from veh_9 on route r_1 with speed 0.1174688317052513 (at simulation time 68.001,900,000 s)
2025-06-06 16:07:50,433 INFO  - Sent ACK to veh_9 (at simulation time 68.001,900,000 s)
2025-06-06 16:07:50,442 INFO  - Sent aggregated data: r_0=1 (0.15 m/s), r_1=2 (0.06 m/s) (at simulation time 70.000,000,000 s)
2025-06-06 16:07:50,446 INFO  - Forwarded metrics to vehicles: avgR0=0.7142857142857143, avgR1=1.0 (at simulation time 70.001,800,000 s)
2025-06-06 16:07:50,459 INFO  - Received GreenWaveMsg from veh_6 on route r_0 with speed 9.421264242051891E-4 (at simulation time 72.002,400,000 s)
