2025-05-28 00:33:24,251 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_13" received at simulation time 66714285710 ns (subscribe=true)
2025-05-28 00:33:24,279 INFO  SumoAmbassador - Adding new vehicle "veh_12" at simulation time 66714285710 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:24,280 INFO  SumoAmbassador - Adding new vehicle "veh_13" at simulation time 66714285710 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:24,583 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_14" received at simulation time 76999999995 ns (subscribe=true)
2025-05-28 00:33:24,583 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_15" received at simulation time 76999999995 ns (subscribe=true)
2025-05-28 00:33:24,633 INFO  SumoAmbassador - Adding new vehicle "veh_14" at simulation time 76999999995 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:24,633 INFO  SumoAmbassador - Adding new vehicle "veh_15" at simulation time 76999999995 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:25,072 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_16" received at simulation time 87285714280 ns (subscribe=true)
2025-05-28 00:33:25,072 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_17" received at simulation time 87285714280 ns (subscribe=true)
2025-05-28 00:33:25,117 INFO  SumoAmbassador - Adding new vehicle "veh_16" at simulation time 87285714280 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:25,118 INFO  SumoAmbassador - Adding new vehicle "veh_17" at simulation time 87285714280 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:25,173 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:25,173 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '2'
2025-05-28 00:33:25,603 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_18" received at simulation time 97571428565 ns (subscribe=true)
2025-05-28 00:33:25,603 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_19" received at simulation time 97571428565 ns (subscribe=true)
2025-05-28 00:33:25,660 INFO  SumoAmbassador - Adding new vehicle "veh_18" at simulation time 97571428565 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:25,660 INFO  SumoAmbassador - Adding new vehicle "veh_19" at simulation time 97571428565 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:25,723 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:25,723 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '3'
2025-05-28 00:33:26,257 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_20" received at simulation time 107857142850 ns (subscribe=true)
2025-05-28 00:33:26,257 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_21" received at simulation time 107857142850 ns (subscribe=true)
2025-05-28 00:33:26,320 INFO  SumoAmbassador - Adding new vehicle "veh_20" at simulation time 107857142850 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:26,320 INFO  SumoAmbassador - Adding new vehicle "veh_21" at simulation time 107857142850 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:26,986 INFO  SimulationFacade - Removed vehicle "veh_3" at simulation time 118000000000ns
2025-05-28 00:33:27,057 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_22" received at simulation time 118142857135 ns (subscribe=true)
2025-05-28 00:33:27,057 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_23" received at simulation time 118142857135 ns (subscribe=true)
2025-05-28 00:33:27,130 INFO  SumoAmbassador - Adding new vehicle "veh_22" at simulation time 118142857135 ns (type=Car, routeId=r_0, laneId=best, departPos=0.00)
2025-05-28 00:33:27,131 INFO  SumoAmbassador - Adding new vehicle "veh_23" at simulation time 118142857135 ns (type=Car_0, routeId=r_1, laneId=best, departPos=0.00)
2025-05-28 00:33:27,212 INFO  SumoAmbassador - Receive TrafficLightStateChange request
2025-05-28 00:33:27,212 INFO  SumoAmbassador - Changing program of traffic light group '443800958' to program id '0'
2025-05-28 00:33:27,214 INFO  SimulationFacade - Removed vehicle "veh_1" at simulation time 121000000000ns
2025-05-28 00:33:27,214 INFO  SimulationFacade - Removed vehicle "veh_7" at simulation time 121000000000ns
2025-05-28 00:33:27,343 INFO  SimulationFacade - Removed vehicle "veh_5" at simulation time 123000000000ns
2025-05-28 00:33:27,343 INFO  SimulationFacade - Removed vehicle "veh_11" at simulation time 123000000000ns
2025-05-28 00:33:27,478 INFO  SimulationFacade - Removed vehicle "veh_9" at simulation time 125000000000ns
2025-05-28 00:33:27,602 INFO  SimulationFacade - Removed vehicle "veh_15" at simulation time 127000000000ns
2025-05-28 00:33:27,602 INFO  SimulationFacade - Removed vehicle "veh_13" at simulation time 127000000000ns
2025-05-28 00:33:27,701 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_24" received at simulation time 128428571420 ns (subscribe=true)
2025-05-28 00:33:27,701 INFO  SumoAmbassador - VehicleRegistration from RTI "veh_25" received at simulation time 128428571420 ns (subscribe=true)
