2025-05-28 00:38:59,756 INFO  - ------------------------------------------------------------------------------------- (at simulation time 58.000,000,000 s)
2025-05-28 00:38:59,757 INFO  - Initialize application (at simulation time 58.000,000,000 s)
2025-05-28 00:38:59,757 INFO  - ------------------------------------------------------------------------------------- (at simulation time 58.000,000,000 s)
2025-05-28 00:38:59,779 INFO  - ------------------------------------------------------------------------------------- (at simulation time 58.000,000,010 s)
2025-05-28 00:38:59,779 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_10', id=941} (at simulation time 58.000,000,010 s)
2025-05-28 00:38:59,779 INFO  - ------------------------------------------------------------------------------------- (at simulation time 58.000,000,010 s)
2025-05-28 00:38:59,803 INFO  - ------------------------------------------------------------------------------------- (at simulation time 59.000,000,010 s)
2025-05-28 00:38:59,803 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_10', id=675} (at simulation time 59.000,000,010 s)
2025-05-28 00:38:59,803 INFO  - ------------------------------------------------------------------------------------- (at simulation time 59.000,000,010 s)
2025-05-28 00:38:59,828 INFO  - ------------------------------------------------------------------------------------- (at simulation time 60.000,000,010 s)
2025-05-28 00:38:59,828 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_10', id=428} (at simulation time 60.000,000,010 s)
2025-05-28 00:38:59,828 INFO  - ------------------------------------------------------------------------------------- (at simulation time 60.000,000,010 s)
2025-05-28 00:38:59,853 INFO  - ------------------------------------------------------------------------------------- (at simulation time 61.000,000,010 s)
2025-05-28 00:38:59,853 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_10', id=771} (at simulation time 61.000,000,010 s)
2025-05-28 00:38:59,853 INFO  - ------------------------------------------------------------------------------------- (at simulation time 61.000,000,010 s)
2025-05-28 00:38:59,880 INFO  - ------------------------------------------------------------------------------------- (at simulation time 62.000,000,010 s)
2025-05-28 00:38:59,880 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_10', id=327} (at simulation time 62.000,000,010 s)
2025-05-28 00:38:59,880 INFO  - ------------------------------------------------------------------------------------- (at simulation time 62.000,000,010 s)
2025-05-28 00:38:59,911 INFO  - ------------------------------------------------------------------------------------- (at simulation time 63.000,000,010 s)
2025-05-28 00:38:59,911 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_10', id=622} (at simulation time 63.000,000,010 s)
2025-05-28 00:38:59,911 INFO  - ------------------------------------------------------------------------------------- (at simulation time 63.000,000,010 s)
