2025-06-06 17:30:49,419 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.31, avgRoute1VehicleCount=1.75 (at simulation time 160.001,400,000 s)
2025-06-06 17:30:49,483 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=3, route1VehicleCount=1, avgRoute0VehicleCount=1.41, avgRoute1VehicleCount=1.71 (at simulation time 170.000,400,000 s)
2025-06-06 17:30:49,483 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.41, avgRoute1VehicleCount=1.71 (at simulation time 170.000,400,000 s)
2025-06-06 17:30:49,542 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=3, route1VehicleCount=0, avgRoute0VehicleCount=1.50, avgRoute1VehicleCount=1.61 (at simulation time 180.001,400,000 s)
2025-06-06 17:30:49,542 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.50, avgRoute1VehicleCount=1.61 (at simulation time 180.001,400,000 s)
2025-06-06 17:30:49,609 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=0, route1VehicleCount=4, avgRoute0VehicleCount=1.42, avgRoute1VehicleCount=1.74 (at simulation time 190.000,900,000 s)
2025-06-06 17:30:49,609 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.42, avgRoute1VehicleCount=1.74 (at simulation time 190.000,900,000 s)
2025-06-06 17:30:49,691 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=4, avgRoute0VehicleCount=1.40, avgRoute1VehicleCount=1.85 (at simulation time 200.002,400,000 s)
2025-06-06 17:30:49,691 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.40, avgRoute1VehicleCount=1.85 (at simulation time 200.002,400,000 s)
2025-06-06 17:30:49,774 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=4, avgRoute0VehicleCount=1.43, avgRoute1VehicleCount=1.95 (at simulation time 210.001,900,000 s)
2025-06-06 17:30:49,775 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.43, avgRoute1VehicleCount=1.95 (at simulation time 210.001,900,000 s)
2025-06-06 17:30:49,885 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=3, avgRoute0VehicleCount=1.45, avgRoute1VehicleCount=2.00 (at simulation time 220.001,400,000 s)
2025-06-06 17:30:49,885 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.45, avgRoute1VehicleCount=2.00 (at simulation time 220.001,400,000 s)
2025-06-06 17:30:49,960 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=2, route1VehicleCount=2, avgRoute0VehicleCount=1.48, avgRoute1VehicleCount=2.00 (at simulation time 230.001,900,000 s)
2025-06-06 17:30:49,960 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.48, avgRoute1VehicleCount=2.00 (at simulation time 230.001,900,000 s)
2025-06-06 17:30:50,027 INFO  - Received AggregatedTrafficMsg: route0VehicleCount=1, route1VehicleCount=1, avgRoute0VehicleCount=1.46, avgRoute1VehicleCount=1.96 (at simulation time 240.002,400,000 s)
2025-06-06 17:30:50,027 INFO  - Sent FogMetricsMsg to RSU: avgRoute0VehicleCount=1.46, avgRoute1VehicleCount=1.96 (at simulation time 240.002,400,000 s)
