2025-05-28 00:19:05,153 INFO  - ------------------------------------------------------------------------------------- (at simulation time 654.000,000,000 s)
2025-05-28 00:19:05,154 INFO  - Initialize application (at simulation time 654.000,000,000 s)
2025-05-28 00:19:05,154 INFO  - ------------------------------------------------------------------------------------- (at simulation time 654.000,000,000 s)
2025-05-28 00:19:05,241 INFO  - ------------------------------------------------------------------------------------- (at simulation time 654.000,000,010 s)
2025-05-28 00:19:05,241 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_126', id=357} (at simulation time 654.000,000,010 s)
2025-05-28 00:19:05,241 INFO  - ------------------------------------------------------------------------------------- (at simulation time 654.000,000,010 s)
2025-05-28 00:19:05,326 INFO  - ------------------------------------------------------------------------------------- (at simulation time 655.000,000,010 s)
2025-05-28 00:19:05,326 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_126', id=402} (at simulation time 655.000,000,010 s)
2025-05-28 00:19:05,326 INFO  - ------------------------------------------------------------------------------------- (at simulation time 655.000,000,010 s)
2025-05-28 00:19:05,413 INFO  - ------------------------------------------------------------------------------------- (at simulation time 656.000,000,010 s)
2025-05-28 00:19:05,413 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_126', id=865} (at simulation time 656.000,000,010 s)
2025-05-28 00:19:05,413 INFO  - ------------------------------------------------------------------------------------- (at simulation time 656.000,000,010 s)
2025-05-28 00:19:05,503 INFO  - ------------------------------------------------------------------------------------- (at simulation time 657.000,000,010 s)
2025-05-28 00:19:05,503 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_126', id=261} (at simulation time 657.000,000,010 s)
2025-05-28 00:19:05,503 INFO  - ------------------------------------------------------------------------------------- (at simulation time 657.000,000,010 s)
2025-05-28 00:19:05,593 INFO  - ------------------------------------------------------------------------------------- (at simulation time 658.000,000,010 s)
2025-05-28 00:19:05,593 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_126', id=360} (at simulation time 658.000,000,010 s)
2025-05-28 00:19:05,593 INFO  - ------------------------------------------------------------------------------------- (at simulation time 658.000,000,010 s)
2025-05-28 00:19:05,687 INFO  - ------------------------------------------------------------------------------------- (at simulation time 659.000,000,010 s)
2025-05-28 00:19:05,687 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_126', id=30} (at simulation time 659.000,000,010 s)
2025-05-28 00:19:05,687 INFO  - ------------------------------------------------------------------------------------- (at simulation time 659.000,000,010 s)
2025-05-28 00:19:05,777 INFO  - ------------------------------------------------------------------------------------- (at simulation time 660.000,000,010 s)
2025-05-28 00:19:05,777 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_126', id=689} (at simulation time 660.000,000,010 s)
2025-05-28 00:19:05,777 INFO  - ------------------------------------------------------------------------------------- (at simulation time 660.000,000,010 s)
2025-05-28 00:19:05,872 INFO  - ------------------------------------------------------------------------------------- (at simulation time 661.000,000,010 s)
2025-05-28 00:19:05,872 INFO  - Received message from another application: IntraVehicleMsg{origin='veh_126', id=20} (at simulation time 661.000,000,010 s)
